"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Bouteloua gracilis",-102.575807,39.431816,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573444363","https://botanydb.colorado.edu/collections/individual/index.php?occid=31088","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84",NA,"00504274"
"Bouteloua gracilis",-102.99972,38.82306,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573444083","https://botanydb.colorado.edu/collections/individual/index.php?occid=31788","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84",NA,"00609479"
"Bouteloua gracilis",-103.43028,38.92306,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573446837","https://botanydb.colorado.edu/collections/individual/index.php?occid=31833","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84",NA,"00645150"
"Bouteloua gracilis",-102.66639,38.79083,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573445008","https://botanydb.colorado.edu/collections/individual/index.php?occid=31848","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"00645507"
"Bouteloua gracilis",-103.1625,38.85528,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573444775","https://botanydb.colorado.edu/collections/individual/index.php?occid=31861","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"00653121"
"Bouteloua gracilis",-103.70472,38.65167,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573445399","https://botanydb.colorado.edu/collections/individual/index.php?occid=31883","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84",NA,"00654921"
"Bouteloua gracilis",-103.50611,38.715,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573444441","https://botanydb.colorado.edu/collections/individual/index.php?occid=31889","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84",NA,"00659763"
"Bouteloua gracilis",-104.406785,32.179809,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"UNM","1843881954","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4091792","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"UNM0097761"
"Bouteloua gracilis",-97.1201,49.7946,"cdc,inmano","CA",NA,"PRESENT",100,"LPMMBH","1291636752",NA,"PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","Living Prairie Museum Manitoba Herbarium (LPMMBH)","173"
"Bouteloua gracilis",-101.663333,21.73,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"INECOL","1897377169",NA,"PRESERVED_SPECIMEN",2000,9,10,"2000-09-10","WGS84","Actualización y depuración de la base de datos del Herbario del Instituto de Ecología, AC, Centro Regional del Bajío. Fase 2","221140"
"Bouteloua gracilis",-104.615411,32.153072,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"UNM","1843882216","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4091936","PRESERVED_SPECIMEN",2000,9,16,"2000-09-16","WGS84",NA,"UNM0097762"
"Bouteloua gracilis",-102.276298,22.361176,"cdc,cdround,elmms,typstativ,inmano","MX",NA,"PRESENT",850,"INECOL","1893706274",NA,"PRESERVED_SPECIMEN",2000,9,16,"2000-09-16","WGS84","Etapa final de la captura y catalogación del Herbario del Instituto de Ecología, A.C., Centro Regional del Bajío","157774"
"Bouteloua gracilis",-104.014599,44.560373,"cdc,inmafu","US",NA,"PRESENT",607,"BHSC","2632244671","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25111203","PRESERVED_SPECIMEN",2000,10,15,"2000-10-15","WGS84",NA,"BHSC0032800"
