"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Arrhenatherum elatius",-117.549331,33.712367,"cdc,inmafu","US","PRESENT",300,"RSA","2430304274","https://cch2.org/portal/collections/individual/index.php?occid=1224226","PRESERVED_SPECIMEN",1988,6,10,"1988-06-10","WGS84",NA,NA
"Arrhenatherum elatius",-122.29952,47.685279,"cdc,gass84,incomis,inmafu","US","PRESENT",185,"UWB","4074269856",NA,"PRESERVED_SPECIMEN",1988,6,3,"1988-06-03","WGS84",NA,"000758"
"Arrhenatherum elatius",-78.260033,39.285095,"cdc,gass84,inmafu","US","PRESENT",250,"USCH","2885067324","https://sernecportal.org/portal/collections/individual/index.php?occid=26778474","PRESERVED_SPECIMEN",1987,6,14,"1987-06-14","WGS84",NA,"USCH0065893"
"Arrhenatherum elatius",-83.33881,45.08507,"gass84","US","PRESENT",969,"MICH","1989287563",NA,"PRESERVED_SPECIMEN",1987,6,28,"1987-06-28","WGS84",NA,"1309303"
"Arrhenatherum elatius",-117.017152,46.72525,"cdc,inmano","US","PRESENT",1000,"IDE","4074146229",NA,"PRESERVED_SPECIMEN",1987,10,12,"1987-10-12","WGS84",NA,"4172"
"Arrhenatherum elatius",-88.314122,42.486803,"cdc,inmafu","US","PRESENT",845,"DEK","4533906241","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20915638","PRESERVED_SPECIMEN",1986,6,17,"1986-06-17","WGS84",NA,"DEK000094861"
"Arrhenatherum elatius",-105.279955,39.933596,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573443466","https://botanydb.colorado.edu/collections/individual/index.php?occid=30190","PRESERVED_SPECIMEN",1986,6,4,"1986-06-04","WGS84",NA,"00476192"
"Arrhenatherum elatius",-87.819149,46.675826,"gass84","US","PRESENT",619,"MICH","1988914316",NA,"PRESERVED_SPECIMEN",1986,6,28,"1986-06-28","WGS84",NA,"1309302"
"Arrhenatherum elatius",-116.959441,46.72305,"cdc,inmano","US","PRESENT",250,"IDE","4074141090",NA,"PRESERVED_SPECIMEN",1986,9,23,"1986-09-23","WGS84",NA,"4174"
"Arrhenatherum elatius",-120.927222,40.077778,"cdc,ambinst","US","PRESENT",402,"CHSC","2417987983","https://cch2.org/portal/collections/individual/index.php?occid=2072628","PRESERVED_SPECIMEN",1985,6,10,"1985-06-10","WGS84",NA,"CHSC067617"
"Arrhenatherum elatius",-123.22489,44.86121,"cdc,ambinst","US","PRESENT",805,"OSU","3820552236","https://oregonflora.org/collections/individual/index.php?occid=1036690","PRESERVED_SPECIMEN",1984,6,26,"1984-06-26","WGS84",NA,NA
"Arrhenatherum elatius",-83.31871,45.11481,"gass84","US","PRESENT",969,"MICH","1989013412",NA,"PRESERVED_SPECIMEN",1984,7,11,"1984-07-11","WGS84",NA,"1309306"
"Arrhenatherum elatius",-86.04924,44.730725,"gass84","US","PRESENT",1.23,"MICH","1989535803",NA,"PRESERVED_SPECIMEN",1984,7,24,"1984-07-24","WGS84",NA,"1309305"
"Arrhenatherum elatius",-82.36078,42.95499,"cdc","CA","PRESENT",100,"iNaturalist","3902159662","https://www.inaturalist.org/observations/95953044","HUMAN_OBSERVATION",1983,7,29,"1983-07-29T09:43","WGS84","iNaturalist research-grade observations","95953044"
"Arrhenatherum elatius",-112.378056,35.216111,"cdc,gass84,inmafu","US","PRESENT",1000,"ASC","3091268314","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1057682","PRESERVED_SPECIMEN",1982,7,12,"1982-07-12","WGS84",NA,"ASC00038137"
"Arrhenatherum elatius",-121.459722,40.026111,"cdc,ambinst","US","PRESENT",402,"CHSC","2417963282","https://cch2.org/portal/collections/individual/index.php?occid=2045999","PRESERVED_SPECIMEN",1981,8,15,"1981-08-15","WGS84",NA,"CHSC034052"
"Arrhenatherum elatius",-123.24113,44.60008,"cdc,ambinst","US","PRESENT",805,"OSU","3820658299","https://oregonflora.org/collections/individual/index.php?occid=1036442","PRESERVED_SPECIMEN",1980,6,8,"1980-06-08","WGS84",NA,NA
"Arrhenatherum elatius",-78.521989,38.788197,"cdc,inmafu","US","PRESENT",596,"LFCC","3357429175","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23873898","PRESERVED_SPECIMEN",1980,6,13,"1980-06-13","WGS84",NA,"LFCC-0003113"
"Arrhenatherum elatius",-105.19627,39.969797,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573442084","https://botanydb.colorado.edu/collections/individual/index.php?occid=30193","PRESERVED_SPECIMEN",1980,6,1,"1980-06-01","WGS84",NA,"00476226"
"Arrhenatherum elatius",-123.2411,44.5973,"cdc,gass84,colmafu,inmafu","US","PRESENT",969,"RENO","4404975726","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4342860","PRESERVED_SPECIMEN",1980,6,8,"1980-06-08","WGS84",NA,"27499"
"Arrhenatherum elatius",-120.8085,36.1909,"cdc,inmafu","US","PRESENT",100,"FSC","2273431355","https://cch2.org/portal/collections/individual/index.php?occid=2170858","PRESERVED_SPECIMEN",1979,4,21,"1979-04-21","WGS84",NA,"FSC0001174"
"Arrhenatherum elatius",-122.8965,40.23616,"cdc,inmafu","US","PRESENT",125,"HSC","2982022238","https://cch2.org/portal/collections/individual/index.php?occid=1820867","PRESERVED_SPECIMEN",1979,6,25,"1979-06-25","WGS84",NA,NA
"Arrhenatherum elatius",-111.25719,43.226353,"cdc,incomis,inmafu","US","PRESENT",500,"SRP","4068965994",NA,"PRESERVED_SPECIMEN",1979,7,17,"1979-07-17","WGS84",NA,"59112"
"Arrhenatherum elatius",-122.921092,38.37758,"cdc,inmafu","US","PRESENT",850,"RSA","2430108757","https://cch2.org/portal/collections/individual/index.php?occid=1080497","PRESERVED_SPECIMEN",1979,8,5,"1979-08-05","WGS84",NA,NA
"Arrhenatherum elatius",-78.383375,39.037231,"cdc,inmafu","US","PRESENT",43,"LFCC","3357428939","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23873864","PRESERVED_SPECIMEN",1978,5,23,"1978-05-23","WGS84",NA,"LFCC-0003096"
"Arrhenatherum elatius",-78.551202,38.829124,"cdc,inmafu","US","PRESENT",224,"LFCC","3357428911","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23873845","PRESERVED_SPECIMEN",1977,6,20,"1977-06-20","WGS84",NA,"LFCC-0003083"
"Arrhenatherum elatius",-86.902132,41.484099,"cdc,inmafu","US","PRESENT",969,"DEK","4533909723","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20917933","PRESERVED_SPECIMEN",1976,6,28,"1976-06-28","WGS84",NA,"DEK000094866"
"Arrhenatherum elatius",-119.975498,39.648048,"cdc,colmafu,inmafu","US","PRESENT",200,"RENO","4404901547","https://intermountainbiota.org/portal/collections/individual/index.php?occid=5336135","PRESERVED_SPECIMEN",1975,6,12,"1975-06-12","WGS84",NA,"13222"
"Arrhenatherum elatius",-123.15526,44.07273,"cdc,gass84,incomis,inmafu","US","PRESENT",200,"HPSU","4070167898",NA,"PRESERVED_SPECIMEN",1975,6,17,"1975-06-17","WGS84",NA,"17117"
"Arrhenatherum elatius",-88.307835,42.478083,"cdc,inmafu","US","PRESENT",209,"DEK","4533906611","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20915689","PRESERVED_SPECIMEN",1973,7,25,"1973-07-25","WGS84",NA,"DEK000094862"
"Arrhenatherum elatius",-117.59353,46.18089,"cdc,inmafu","US","PRESENT",969,"DES","1846545424","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3222607","PRESERVED_SPECIMEN",1972,7,1,"1972-07-01","WGS84",NA,"DES00025806"
"Arrhenatherum elatius",-123.6019,40.5002,"cdc,inmafu","US","PRESENT",593,"HSC","2982005991","https://cch2.org/portal/collections/individual/index.php?occid=1776059","PRESERVED_SPECIMEN",1971,5,31,"1971-05-31","WGS84",NA,NA
"Arrhenatherum elatius",-122.508002,48.761328,"cdc,gass84,incomis,inmafu","US","PRESENT",90,"WWB","4070133752",NA,"PRESERVED_SPECIMEN",1970,6,14,"1970-06-14","WGS84",NA,"13598"
"Arrhenatherum elatius",-120.218333,39.134444,"cdc,colmafu,inmafu","US","PRESENT",900,"DAV","2595833142","https://cch2.org/portal/collections/individual/index.php?occid=3845381","PRESERVED_SPECIMEN",1970,7,24,"1970-07-24","WGS84",NA,NA
