"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-117.906647,47.441034,"cdc,colmafu,inmafu","US",NA,"PRESENT",638,"EWU","4070145745",NA,"PRESERVED_SPECIMEN",1995,4,27,"1995-04-27","WGS84",NA,"5957"
"Carex filifolia",-112.5517,47.8353,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069870026",NA,"PRESERVED_SPECIMEN",1995,5,28,"1995-05-28","WGS84",NA,"120004"
"Carex filifolia",-113.438652,48.739377,"cdc,incomis,inmafu","US",NA,"PRESENT",289,"MONTU","4069920219",NA,"PRESERVED_SPECIMEN",1995,6,4,"1995-06-04","WGS84",NA,"119910"
"Carex filifolia",-108.056593,35.43172,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",570,"UNM","1843853201","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4062952","PRESERVED_SPECIMEN",1995,7,22,"1995-07-22","WGS84",NA,"UNM0088740"
"Carex filifolia",-105.183627,39.892296,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573539486","https://botanydb.colorado.edu/collections/individual/index.php?occid=72761","PRESERVED_SPECIMEN",1994,5,19,"1994-05-19","WGS84",NA,"00550418"
"Carex filifolia",-103.870513,39.345258,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573534468","https://botanydb.colorado.edu/collections/individual/index.php?occid=71233","PRESERVED_SPECIMEN",1993,5,22,"1993-05-22","WGS84",NA,"00268920"
"Carex filifolia",-95.740652,47.783076,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265495514","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51866","PRESERVED_SPECIMEN",1993,6,18,"1993-06-18","WGS84",NA,"475418"
"Carex filifolia",-121.403946,42.104261,"cdc,cdround,ambinst","US",NA,"PRESENT",402,"OSU","3820545898","https://oregonflora.org/collections/individual/index.php?occid=1004561","PRESERVED_SPECIMEN",1993,7,16,"1993-07-16","WGS84",NA,NA
"Carex filifolia",-113.2658418,44.3693146,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073833781",NA,"PRESERVED_SPECIMEN",1992,6,22,"1992-06-22","WGS84",NA,"146007"
"Carex filifolia",-117.330069,45.28048,"cdc,cdround,ambinst","US",NA,"PRESENT",201,"OSU","3820648271","https://oregonflora.org/collections/individual/index.php?occid=1012646","PRESERVED_SPECIMEN",1992,7,5,"1992-07-05","WGS84",NA,NA
