"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Amorpha canescens",-105.236461,35.525811,"cdc,colmafu,inmafu","US","PRESENT",607,"UNM","1843810624","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020219","PRESERVED_SPECIMEN",1996,8,17,"1996-08-17","WGS84",NA,"UNM0040166"
"Amorpha canescens",-94.933063,39.352509,"ambcol","US","PRESENT",573,"KU","176874301",NA,"PRESERVED_SPECIMEN",1995,6,28,"1995-06-28","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113925"
"Amorpha canescens",-98.200373,39.26638,"ambcol","US","PRESENT",901,"KU","176874000",NA,"PRESERVED_SPECIMEN",1995,6,23,"1995-06-23","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","329551"
"Amorpha canescens",-97.856005,38.782286,"ambcol","US","PRESENT",136,"KU","176874036",NA,"PRESERVED_SPECIMEN",1995,7,2,"1995-07-02","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","112778"
"Amorpha canescens",-98.05546,39.79625,"ambcol","US","PRESENT",95,"KU","176874037",NA,"PRESERVED_SPECIMEN",1995,7,13,"1995-07-13","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113258"
"Amorpha canescens",-96.524626,44.505449,"ambcol","US","PRESENT",320,"KU","176874282",NA,"PRESERVED_SPECIMEN",1995,7,17,"1995-07-17","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","312823"
"Amorpha canescens",-96.526257,44.506735,"cdc,ambinst","US","PRESENT",969,"SDSU","3454991186","https://ngpherbaria.org/portal/collections/individual/index.php?occid=21136614","PRESERVED_SPECIMEN",1995,7,17,"1995-07-17","WGS84",NA,"0015961"
"Amorpha canescens",-98.250008,39.270101,"ambcol","US","PRESENT",909,"KU","176874070",NA,"PRESERVED_SPECIMEN",1995,8,26,"1995-08-26","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","330737"
"Amorpha canescens",-95.182796,37.255804,"ambcol","US","PRESENT",459,"KU","176873986",NA,"PRESERVED_SPECIMEN",1994,6,21,"1994-06-21","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","111274"
"Amorpha canescens",-94.946561,38.624742,"ambcol","US","PRESENT",552,"KU","176874299",NA,"PRESERVED_SPECIMEN",1994,6,29,"1994-06-29","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113401"
